Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Train F1,Val F1
1,1.3524326911339393,0.547867298578199,1.1159578323364259,0.6359983929288872,0.5245314700387732,0.6032552591009425
2,0.9229047697979015,0.680568720379147,0.9167454279959202,0.6970670952189635,0.6714894133945559,0.6888929499556417
3,0.7061606085562444,0.7613097802671263,0.6329101957380772,0.8067496986741663,0.757072882622861,0.7989272124729287
4,0.5798279338485592,0.8082722964239551,0.5394737653434276,0.8336681398151868,0.8058396180494722,0.8281317819980767
5,0.5075032884603018,0.8335200344679018,0.5241339730098844,0.8312575331458417,0.8321872442904955,0.8287652827742579
6,0.4344255537777157,0.8572167169323568,0.5418775832280517,0.8429087987143431,0.8563292153425477,0.8448385890262725
7,0.39284953507748277,0.8724687634640241,0.5924954127520323,0.8143832864604259,0.8716814786143272,0.8131938590622982
8,0.3207082307928211,0.8936665230504093,0.36557402163743974,0.8871032543190036,0.8931726408640637,0.8865476828070767
9,0.3082864109303925,0.9003877638948729,0.3357707243412733,0.9031739654479711,0.9000156467133755,0.9040405386487248
10,0.2784782929734869,0.9075398535114175,0.3225395709276199,0.9035757332261952,0.9072121393504428,0.9022054736788284
11,0.2458875528894938,0.9184834123222749,0.26209719888865946,0.9256729610285255,0.9182765691180975,0.926068936941863
12,0.23216803118095294,0.9224472210254201,0.41249104402959347,0.8826838087585376,0.9222426067149095,0.8830261659339604
13,0.21443833255178327,0.9289961223610512,0.23312704227864742,0.9385295299316995,0.9288228038460032,0.9382414667466885
14,0.1925997317328558,0.9368375700129254,0.2633564559742808,0.9316994777018883,0.9366991459033778,0.9311763091607438
15,0.1843164018713511,0.9400258509263248,0.2899494145065546,0.9104057854560065,0.9398787341692622,0.9102478149886873
16,0.16394963352889805,0.9457130547177941,0.22790522314608097,0.933306548814785,0.9454755703837688,0.9354615491613757
17,0.11126851478775779,0.9650150797070228,0.15809359531849623,0.9562073121735637,0.9649652453607136,0.9562540153420103
18,0.08879510131101687,0.9735458853942266,0.1599742468446493,0.959019686621133,0.9735077192366454,0.9590994314802734
19,0.09193218589484037,0.9713054717794054,0.17653983384370803,0.9501807955002008,0.9712634758264639,0.9506061561794308
20,0.08101456239819527,0.9742352434295563,0.1444590775296092,0.9614302932904781,0.9741912129788687,0.9615112693649773
21,0.07686670388576093,0.9734597156398104,0.1881013217382133,0.9521896343913219,0.9734339851033029,0.9520129414999703
